nohup: ignoring input
WARNING:root:No sentence-transformers model found with name /data/transformers/bert-base-uncased. Creating a new one with MEAN pooling.
Some weights of the model checkpoint at /data/transformers/bert-base-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.transform.dense.weight', 'cls.seq_relationship.bias', 'cls.predictions.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
Add 2 special tokens
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.

Trian : | Epoch [  1/ 10] Iter[247/3645]	 CE-loss: 0.3360
Trian : | Epoch [  1/ 10] Iter[248/3645]	 CE-loss: 0.3358
Trian : | Epoch [  1/ 10] Iter[249/3645]	 CE-loss: 0.3356
Trian : | Epoch [  1/ 10] Iter[250/3645]	 CE-loss: 0.3354
Trian : | Epoch [  1/ 10] Iter[251/3645]	 CE-loss: 0.3358
Trian : | Epoch [  1/ 10] Iter[252/3645]	 CE-loss: 0.3353
Trian : | Epoch [  1/ 10] Iter[253/3645]	 CE-loss: 0.3355
Trian : | Epoch [  1/ 10] Iter[254/3645]	 CE-loss: 0.3353
Trian : | Epoch [  1/ 10] Iter[255/3645]	 CE-loss: 0.3352
Trian : | Epoch [  1/ 10] Iter[256/3645]	 CE-loss: 0.3356
Trian : | Epoch [  1/ 10] Iter[257/3645]	 CE-loss: 0.3356
Trian : | Epoch [  1/ 10] Iter[258/3645]	 CE-loss: 0.3362
Trian : | Epoch [  1/ 10] Iter[259/3645]	 CE-loss: 0.3365
Trian : | Epoch [  1/ 10] Iter[260/3645]	 CE-loss: 0.3363
Trian : | Epoch [  1/ 10] Iter[261/3645]	 CE-loss: 0.3360
Trian : | Epoch [  1/ 10] Iter[262/3645]	 CE-loss: 0.3361
Trian : | Epoch [  1/ 10] Iter[263/3645]	 CE-loss: 0.3357
Trian : | Epoch [  1/ 10] Iter[264/3645]	 CE-loss: 0.3362
Trian : | Epoch [  1/ 10] Iter[265/3645]	 CE-loss: 0.3363
Trian : | Epoch [  1/ 10] Iter[266/3645]	 CE-loss: 0.3359
Trian : | Epoch [  1/ 10] Iter[267/3645]	 CE-loss: 0.3356
Trian : | Epoch [  1/ 10] Iter[268/3645]	 CE-loss: 0.3353
Trian : | Epoch [  1/ 10] Iter[269/3645]	 CE-loss: 0.3355
Trian : | Epoch [  1/ 10] Iter[270/3645]	 CE-loss: 0.3359
Trian : | Epoch [  1/ 10] Iter[271/3645]	 CE-loss: 0.3356
Trian : | Epoch [  1/ 10] Iter[272/3645]	 CE-loss: 0.3353
Trian : | Epoch [  1/ 10] Iter[273/3645]	 CE-loss: 0.3350
Trian : | Epoch [  1/ 10] Iter[274/3645]	 CE-loss: 0.3348
Trian : | Epoch [  1/ 10] Iter[275/3645]	 CE-loss: 0.3344
Trian : | Epoch [  1/ 10] Iter[276/3645]	 CE-loss: 0.3347
Trian : | Epoch [  1/ 10] Iter[277/3645]	 CE-loss: 0.3349
Trian : | Epoch [  1/ 10] Iter[278/3645]	 CE-loss: 0.3347
Trian : | Epoch [  1/ 10] Iter[279/3645]	 CE-loss: 0.3345
Trian : | Epoch [  1/ 10] Iter[280/3645]	 CE-loss: 0.3344
Trian : | Epoch [  1/ 10] Iter[281/3645]	 CE-loss: 0.3353
Trian : | Epoch [  1/ 10] Iter[282/3645]	 CE-loss: 0.3356
Trian : | Epoch [  1/ 10] Iter[283/3645]	 CE-loss: 0.3359
Trian : | Epoch [  1/ 10] Iter[284/3645]	 CE-loss: 0.3360
Trian : | Epoch [  1/ 10] Iter[285/3645]	 CE-loss: 0.3356
Trian : | Epoch [  1/ 10] Iter[286/3645]	 CE-loss: 0.3355
Trian : | Epoch [  1/ 10] Iter[287/3645]	 CE-loss: 0.3355
Trian : | Epoch [  1/ 10] Iter[288/3645]	 CE-loss: 0.3348
Trian : | Epoch [  1/ 10] Iter[289/3645]	 CE-loss: 0.3347
Trian : | Epoch [  1/ 10] Iter[290/3645]	 CE-loss: 0.3347
Trian : | Epoch [  1/ 10] Iter[291/3645]	 CE-loss: 0.3346
Trian : | Epoch [  1/ 10] Iter[292/3645]	 CE-loss: 0.3346
Trian : | Epoch [  1/ 10] Iter[293/3645]	 CE-loss: 0.3344
Trian : | Epoch [  1/ 10] Iter[294/3645]	 CE-loss: 0.3340
Trian : | Epoch [  1/ 10] Iter[295/3645]	 CE-loss: 0.3336
Trian : | Epoch [  1/ 10] Iter[296/3645]	 CE-loss: 0.3333
Trian : | Epoch [  1/ 10] Iter[297/3645]	 CE-loss: 0.3334
Trian : | Epoch [  1/ 10] Iter[298/3645]	 CE-loss: 0.3330
Trian : | Epoch [  1/ 10] Iter[299/3645]	 CE-loss: 0.3327
Trian : | Epoch [  1/ 10] Iter[300/3645]	 CE-loss: 0.3320
